Year	Month	CO2
2000	1	366.593
2000	2	366.399
2000	3	366.167
2000	4	366.107
2000	5	366.328
2000	6	366.776
2000	7	367.184
2000	8	367.429
2000	9	367.648
2000	10	367.776
2000	11	367.705
2000	12	367.611
2001	1	367.562
2001	2	367.506
2001	3	367.494
2001	4	367.663
2001	5	367.898
2001	6	368.147
2001	7	368.563
2001	8	369.112
2001	9	369.615
2001	10	369.71
2001	11	369.445
2001	12	369.286
2002	1	369.368
2002	2	369.43
2002	3	369.483
2002	4	369.65
2002	5	369.9
2002	6	370.362
2002	7	370.938
2002	8	371.428
2002	9	371.765
2002	10	371.902
2002	11	371.788
2002	12	371.596
2003	1	371.57
2003	2	371.65
2003	3	371.847
2003	4	372.133
2003	5	372.42
2003	6	372.762
2003	7	373.226
2003	8	373.761
2003	9	374.055
2003	10	373.983
2003	11	373.765
2003	12	373.581
2004	1	373.556
2004	2	373.689
2004	3	373.772
2004	4	373.906
2004	5	374.292
2004	6	374.77
2004	7	375.174
2004	8	375.514
2004	9	375.668
2004	10	375.694
2004	11	375.687
2004	12	375.503
2005	1	375.354
2005	2	375.398
2005	3	375.424
2005	4	375.56
2005	5	376.162
2005	6	376.917
2005	7	377.288
2005	8	377.572
2005	9	377.846
2005	10	377.924
2005	11	377.866
2005	12	377.752
2006	1	377.845
2006	2	377.976
2006	3	377.987
2006	4	378.051
2006	5	378.174
2006	6	378.405
2006	7	378.799
2006	8	379.25
2006	9	379.47
2006	10	379.403
2006	11	379.359
2006	12	379.43
2007	1	379.361
2007	2	379.33
2007	3	379.433
2007	4	379.633
2007	5	380.006
2007	6	380.391
2007	7	380.9
2007	8	381.317
2007	9	381.523
2007	10	381.653
2007	11	381.628
2007	12	381.58
2008	1	381.649
2008	2	381.726
2008	3	381.727
2008	4	381.825
2008	5	382.094
2008	6	382.591
2008	7	382.938
2008	8	383.3
2008	9	383.701
2008	10	383.663
2008	11	383.51
2008	12	383.586
2009	1	383.832
2009	2	383.794
2009	3	383.461
2009	4	383.367
2009	5	383.594
2009	6	383.881
2009	7	384.283
2009	8	384.747
2009	9	384.968
2009	10	385.093
2009	11	385.068
2009	12	384.982
2010	1	384.952
2010	2	384.695
2010	3	384.595
2010	4	384.894
2010	5	385.277
2010	6	385.778
2010	7	386.443
2010	8	387.084
2010	9	387.43
2010	10	387.428
2010	11	387.277
2010	12	387.032
2011	1	386.891
2011	2	386.962
2011	3	387.01
2011	4	387.022
2011	5	387.272
2011	6	387.698
2011	7	388.066
2011	8	388.501
2011	9	388.99
2011	10	389.125
2011	11	388.932
2011	12	388.8
2012	1	388.682
2012	2	388.652
2012	3	388.681
2012	4	388.856
2012	5	389.145
2012	6	389.566
2012	7	390.231
2012	8	390.903
2012	9	391.328
2012	10	391.366
2012	11	391.167
2012	12	391.084
2013	1	391.178
2013	2	391.371
2013	3	391.669
2013	4	392.019
2013	5	392.343
2013	6	392.676
2013	7	393.25
2013	8	393.737
2013	9	393.936
2013	10	394.006
2013	11	393.958
2013	12	393.772
2014	1	393.629
2014	2	393.677
2014	3	393.835
2014	4	394.022
2014	5	394.213
2014	6	394.606
2014	7	395.149
2014	8	395.614
2014	9	395.85
2014	10	395.857
2014	11	395.813
2014	12	395.74
2015	1	395.781
2015	2	395.918
2015	3	396.033
2015	4	396.35
2015	5	396.784
2015	6	397.097
2015	7	397.592
2015	8	398.178
2015	9	398.368
2015	10	398.424
2015	11	398.547
2015	12	398.576
2016	1	398.702
2016	2	398.983
2016	3	399.228
2016	4	399.585
2016	5	400.088
2016	6	400.628
2016	7	401.157
2016	8	401.458
2016	9	401.605
2016	10	401.647
2016	11	401.379
2016	12	401.177
2017	1	401.167
2017	2	401.154
2017	3	401.249
2017	4	401.516
2017	5	401.752
2017	6	402.049
2017	7	402.687
2017	8	403.244
2017	9	403.453
2017	10	403.59
2017	11	403.692
2017	12	403.696
2018	1	403.753
2018	2	403.815
2018	3	403.897
2018	4	404.165
2018	5	404.404
2018	6	404.674
2018	7	405.182
2018	8	405.651
2018	9	405.859
2018	10	405.913
2018	11	405.834
2018	12	405.754
2019	1	405.733
2019	2	405.665
2019	3	405.792
2019	4	406.202
2019	5	406.703
2019	6	407.229
2019	7	407.832
2019	8	408.332
2019	9	408.576
